GEO_ID,COUNTY,STATE,Less_9th,9th_to_12th_no_diploma,HS_grad_or_equ,Some_College_no_Degree,Associates,Bachelors,Graduate_Professional,HS_grad_higher,Bachelors_higher
01001,Autauga County,Alabama,938,3353,12551,7455,3141,6019,3910,33076,9929
01003,Baldwin County,Alabama,3467,10426,41797,32998,14276,31801,16347,137219,48148
01005,Barbour County,Alabama,1524,3288,6396,3382,1294,1367,713,13152,2080
01007,Bibb County,Alabama,1048,2338,7256,2659,1189,1043,635,12782,1678
01009,Blount County,Alabama,3392,4371,13299,8533,4986,3432,1778,32028,5210
01011,Bullock County,Alabama,379,1419,2860,1269,318,527,329,5303,856
01013,Butler County,Alabama,641,1425,6244,2262,1017,1343,887,11753,2230
01015,Calhoun County,Alabama,4081,8234,25940,19759,6474,8311,6309,66793,14620
01017,Chambers County,Alabama,1480,2892,8739,5296,2219,2260,903,19417,3163
01019,Cherokee County,Alabama,1289,2189,7598,3806,1585,1254,1153,15396,2407
01021,Chilton County,Alabama,1735,3739,13348,5038,2363,2440,1383,24572,3823
01023,Choctaw County,Alabama,498,1239,3515,1938,1026,715,398,7592,1113
01025,Clarke County,Alabama,876,2383,7005,3115,1341,1214,836,13511,2050
01027,Clay County,Alabama,951,1254,3577,1777,901,562,437,7254,999
01029,Cleburne County,Alabama,691,1507,3980,2089,598,1056,560,8283,1616
01031,Coffee County,Alabama,1595,3372,9615,8489,4178,5394,2650,30326,8044
01033,Colbert County,Alabama,1670,4113,14740,8384,2982,4492,2578,33176,7070
01035,Conecuh County,Alabama,370,1014,4516,1118,687,724,404,7449,1128
01037,Coosa County,Alabama,393,1259,3327,1727,494,709,350,6607,1059
01039,Covington County,Alabama,1491,2875,9819,5554,2565,2599,1421,21958,4020
01041,Crenshaw County,Alabama,713,1303,3830,1584,573,1234,453,7674,1687
01043,Cullman County,Alabama,3131,7517,19668,13063,6343,5121,2883,47078,8004
01045,Dale County,Alabama,1436,3215,10819,8612,3349,4047,2031,28858,6078
01047,Dallas County,Alabama,1126,3631,9411,5269,2909,2305,1549,21443,3854
01049,DeKalb County,Alabama,5599,6473,16431,8765,4476,3727,2519,35918,6246
01051,Elmore County,Alabama,2511,4992,18232,11001,5297,9143,4917,48590,14060
01053,Escambia County,Alabama,1173,3705,11308,4542,1907,2112,1112,20981,3224
01055,Etowah County,Alabama,3473,7654,23668,17890,6532,7899,4916,60905,12815
01057,Fayette County,Alabama,841,1196,4831,2595,792,1062,389,9669,1451
01059,Franklin County,Alabama,2080,2659,7601,3791,1748,1819,1088,16047,2907
01061,Geneva County,Alabama,1393,2279,6714,4046,1897,1419,912,14988,2331
01063,Greene County,Alabama,347,857,2237,1405,361,353,233,4589,586
01065,Hale County,Alabama,457,1130,4303,1879,741,925,486,8334,1411
01067,Henry County,Alabama,822,1687,3961,2525,1097,1250,826,9659,2076
01069,Houston County,Alabama,2970,7106,22558,16920,6973,9682,5990,62123,15672
01071,Jackson County,Alabama,1907,4311,15177,6882,3547,3525,1650,30781,5175
01073,Jefferson County,Alabama,12683,32001,118636,97742,38557,91545,58579,405059,150124
01075,Lamar County,Alabama,653,1084,3912,2146,868,818,356,8100,1174
01077,Lauderdale County,Alabama,2660,5366,22873,13388,4371,9455,5493,55580,14948
01079,Lawrence County,Alabama,1570,3255,9605,4189,1765,1970,960,18489,2930
01081,Lee County,Alabama,2750,6099,23026,21993,8914,19015,15258,88206,34273
01083,Limestone County,Alabama,3608,6490,20044,13456,5373,11450,5521,55844,16971
01085,Lowndes County,Alabama,397,1132,2800,1070,626,652,385,5533,1037
