GEO_ID,COUNTY,STATE,MEDIAN_AGE_EST
01001,Autauga County,Alabama,38.2
01003,Baldwin County,Alabama,43
01005,Barbour County,Alabama,40.4
01007,Bibb County,Alabama,40.9
01009,Blount County,Alabama,40.7
01011,Bullock County,Alabama,40.2
01013,Butler County,Alabama,40.8
01015,Calhoun County,Alabama,39.6
01017,Chambers County,Alabama,42
01019,Cherokee County,Alabama,46.5
01021,Chilton County,Alabama,38.7
01023,Choctaw County,Alabama,46.3
01025,Clarke County,Alabama,42.5
01027,Clay County,Alabama,43.3
01029,Cleburne County,Alabama,43.1
01031,Coffee County,Alabama,39.3
01033,Colbert County,Alabama,42.4
01035,Conecuh County,Alabama,44.8
01037,Coosa County,Alabama,48.4
01039,Covington County,Alabama,43.3
01041,Crenshaw County,Alabama,41.7
01043,Cullman County,Alabama,40.8
01045,Dale County,Alabama,37.3
01047,Dallas County,Alabama,39.6
01049,DeKalb County,Alabama,39.5
01051,Elmore County,Alabama,38.7
01053,Escambia County,Alabama,40
01055,Etowah County,Alabama,41.4
01057,Fayette County,Alabama,43.7
01059,Franklin County,Alabama,38.6
01061,Geneva County,Alabama,43.2
01063,Greene County,Alabama,40.9
01065,Hale County,Alabama,40.5
01067,Henry County,Alabama,44.4
01069,Houston County,Alabama,40.1
01071,Jackson County,Alabama,43.1
01073,Jefferson County,Alabama,37.7
01075,Lamar County,Alabama,44.8
01077,Lauderdale County,Alabama,41
01079,Lawrence County,Alabama,42.4
01081,Lee County,Alabama,31.9
01083,Limestone County,Alabama,39.7
01085,Lowndes County,Alabama,42
01087,Macon County,Alabama,38.6
01089,Madison County,Alabama,38.5
01091,Marengo County,Alabama,42.2
01093,Marion County,Alabama,44.3
01095,Marshall County,Alabama,38.8
01097,Mobile County,Alabama,37.9
01099,Monroe County,Alabama,43.3
01101,Montgomery County,Alabama,36.4
01103,Morgan County,Alabama,40.6
01105,Perry County,Alabama,36.9
01107,Pickens County,Alabama,42.2
01109,Pike County,Alabama,31.2
01111,Randolph County,Alabama,43.4
01113,Russell County,Alabama,36.3
01115,St. Clair County,Alabama,40.3
01117,Shelby County,Alabama,39.3
01119,Sumter County,Alabama,35.6
01121,Talladega County,Alabama,41.3
01123,Tallapoosa County,Alabama,44.7
01125,Tuscaloosa County,Alabama,33
01127,Walker County,Alabama,42.1
01129,Washington County,Alabama,43.7
01131,Wilcox County,Alabama,40.5
01133,Winston County,Alabama,45.2
02013,Aleutians East Borough,Alaska,42.5
02016,Aleutians West Census Area,Alaska,38.6
02020,Anchorage Municipality,Alaska,33.6
02050,Bethel Census Area,Alaska,27.3
02060,Bristol Bay Borough,Alaska,42.9
02068,Denali Borough,Alaska,42.1
02070,Dillingham Census Area,Alaska,30.2
02090,Fairbanks North Star Borough,Alaska,31.3
02100,Haines Borough,Alaska,44.7
02105,Hoonah-Angoon Census Area,Alaska,49.6
02110,Juneau City and Borough,Alaska,38.1
02122,Kenai Peninsula Borough,Alaska,40.8
02130,Ketchikan Gateway Borough,Alaska,39.7
02150,Kodiak Island Borough,Alaska,33.9
02158,Kusilvak Census Area,Alaska,24.1
02164,Lake and Peninsula Borough,Alaska,34.8
02170,Matanuska-Susitna Borough,Alaska,35.2
02180,Nome Census Area,Alaska,28.3
02185,North Slope Borough,Alaska,35.2
02188,Northwest Arctic Borough,Alaska,27.8
02195,Petersburg Borough,Alaska,42.8
02198,Prince of Wales-Hyder Census Area,Alaska,41.3
02220,Sitka City and Borough,Alaska,39.5
02230,Skagway Municipality,Alaska,40.4
02240,Southeast Fairbanks Census Area,Alaska,36.8
02261,Valdez-Cordova Census Area,Alaska,38.1
02275,Wrangell City and Borough,Alaska,49.4
02282,Yakutat City and Borough,Alaska,36.9
02290,Yukon-Koyukuk Census Area,Alaska,35.2
04001,Apache County,Arizona,35
04003,Cochise County,Arizona,41.1
04005,Coconino County,Arizona,30.7
04007,Gila County,Arizona,50.2
04009,Graham County,Arizona,33.6
04011,Greenlee County,Arizona,34.5
04012,La Paz County,Arizona,56.5
04013,Maricopa County,Arizona,36.4
04015,Mohave County,Arizona,51.6
04017,Navajo County,Arizona,37.3
04019,Pima County,Arizona,38.5
04021,Pinal County,Arizona,39.3
04023,Santa Cruz County,Arizona,36.7
04025,Yavapai County,Arizona,53.4
04027,Yuma County,Arizona,34.6
05001,Arkansas County,Arkansas,40.7
05003,Ashley County,Arkansas,41.7
05005,Baxter County,Arkansas,52.2
05007,Benton County,Arkansas,35.4
05009,Boone County,Arkansas,42.3
05011,Bradley County,Arkansas,40.6
05013,Calhoun County,Arkansas,44.5
05015,Carroll County,Arkansas,45
05017,Chicot County,Arkansas,43.3
05019,Clark County,Arkansas,33.7
05021,Clay County,Arkansas,42.8
05023,Cleburne County,Arkansas,49.4
05025,Cleveland County,Arkansas,42.9
05027,Columbia County,Arkansas,35.7
05029,Conway County,Arkansas,42.5
05031,Craighead County,Arkansas,34.2
05033,Crawford County,Arkansas,38.6
05035,Crittenden County,Arkansas,35.2
05037,Cross County,Arkansas,40.9
05039,Dallas County,Arkansas,43.9
05041,Desha County,Arkansas,40.1
05043,Drew County,Arkansas,37.4
05045,Faulkner County,Arkansas,32.8
05047,Franklin County,Arkansas,41.2
05049,Fulton County,Arkansas,48.4
05051,Garland County,Arkansas,45
05053,Grant County,Arkansas,41
05055,Greene County,Arkansas,38
05057,Hempstead County,Arkansas,40.4
05059,Hot Spring County,Arkansas,41.3
05061,Howard County,Arkansas,39.2
05063,Independence County,Arkansas,39.3
05065,Izard County,Arkansas,47.9
