GEO_ID,COUNTY,STATE,Hispanic or Latino,White,Black,American Indian & Alaska Native,Asian,Native Hawaiian or other Pacific Islander,Other Race,Two or more races
01001,Autauga County,Alabama,1565,41315,10524,140,573,5,85,1173
01003,Baldwin County,Alabama,9711,176803,19525,1391,1955,9,344,3092
01005,Barbour County,Alabama,1105,11618,12031,74,121,1,107,304
01007,Bibb County,Alabama,579,16763,4981,30,27,0,0,113
01009,Blount County,Alabama,5342,50121,881,40,212,25,214,846
01011,Bullock County,Alabama,262,2191,7666,0,50,0,1,78
01013,Butler County,Alabama,277,10232,8928,11,69,0,0,311
01015,Calhoun County,Alabama,4352,82608,23682,220,1007,14,185,2550
01017,Chambers County,Alabama,800,18697,13316,112,376,0,17,342
01019,Cherokee County,Alabama,413,23759,1191,280,64,0,0,196
01021,Chilton County,Alabama,3457,35302,4041,39,195,0,43,978
01023,Choctaw County,Alabama,53,7287,5500,8,17,0,9,51
01025,Clarke County,Alabama,79,12720,11044,26,104,0,0,155
01027,Clay County,Alabama,419,10717,2068,0,21,0,18,94
01029,Cleburne County,Alabama,367,13826,410,14,3,0,13,283
01031,Coffee County,Alabama,3763,36239,8680,601,745,0,57,1577
01033,Colbert County,Alabama,1557,42830,8809,319,259,51,29,917
01035,Conecuh County,Alabama,84,6203,5919,25,56,0,2,105
01037,Coosa County,Alabama,109,6970,3615,8,0,0,55,0
01039,Covington County,Alabama,629,30984,4981,22,142,34,5,403
01041,Crenshaw County,Alabama,110,9827,3202,92,175,9,0,429
01043,Cullman County,Alabama,3611,76129,1034,234,314,0,48,1483
01045,Dale County,Alabama,3210,33787,9749,280,603,4,160,1484
01047,Dallas County,Alabama,419,10694,27572,37,222,5,0,200
01049,DeKalb County,Alabama,10376,57359,1021,766,86,150,20,1532
01051,Elmore County,Alabama,2404,59364,17223,211,439,0,173,1330
01053,Escambia County,Alabama,865,22321,11850,1476,102,55,41,347
01055,Etowah County,Alabama,3982,80001,15861,377,764,24,53,1686
01057,Fayette County,Alabama,297,13937,1843,0,78,7,0,332
01059,Franklin County,Alabama,5400,24181,1349,88,117,0,10,321
01061,Geneva County,Alabama,1051,22151,2487,236,115,12,0,365
01063,Greene County,Alabama,145,1435,6614,37,0,0,0,93
01065,Hale County,Alabama,4,5854,8792,30,33,0,32,64
01067,Henry County,Alabama,449,11851,4549,30,68,17,0,169
01069,Houston County,Alabama,3479,69580,28021,262,909,45,296,2110
01071,Jackson County,Alabama,1519,46277,1775,582,232,55,43,1369
01073,Jefferson County,Alabama,25557,329108,282363,1052,10335,201,1316,9748
01075,Lamar County,Alabama,229,11940,1479,3,17,0,106,111
01077,Lauderdale County,Alabama,2476,78414,9388,363,593,62,104,1156
01079,Lawrence County,Alabama,724,25285,3496,1852,65,27,0,1609
01081,Lee County,Alabama,5925,108684,36623,296,6626,0,273,2725
01083,Limestone County,Alabama,5700,72508,12880,648,1301,54,21,1615
01085,Lowndes County,Alabama,50,2485,7495,13,0,0,0,36
01087,Macon County,Alabama,152,2966,15442,16,32,0,11,89
01089,Madison County,Alabama,17928,234316,87115,2044,9492,290,1032,10059
01091,Marengo County,Alabama,196,8672,10348,21,0,0,0,84
01093,Marion County,Alabama,777,27433,1025,141,54,0,0,436
01095,Marshall County,Alabama,13357,77236,2549,349,573,51,98,1430
01097,Mobile County,Alabama,12018,235599,147186,3140,7837,47,1504,6783
01099,Monroe County,Alabama,81,11544,9010,372,58,6,0,199
01101,Montgomery County,Alabama,7978,76937,131160,323,6362,49,229,3903
01103,Morgan County,Alabama,9962,90163,15132,565,760,66,72,2493
01105,Perry County,Alabama,110,2727,6441,3,8,0,4,0
01107,Pickens County,Alabama,985,10860,8065,28,12,12,8,273
01109,Pike County,Alabama,750,18672,12194,188,734,3,18,774
01111,Randolph County,Alabama,668,17052,4455,38,47,0,11,376
01113,Russell County,Alabama,3182,26696,25158,153,506,23,385,1849
01115,St. Clair County,Alabama,2133,75556,8418,304,703,11,22,842
01117,Shelby County,Alabama,12208,166190,25665,559,4399,51,487,3873
01119,Sumter County,Alabama,68,3175,9203,9,274,0,42,26
01121,Talladega County,Alabama,1842,50344,26022,342,494,23,78,1242
01123,Tallapoosa County,Alabama,981,27922,10934,90,145,0,11,458
01125,Tuscaloosa County,Alabama,7702,127593,66113,332,3335,93,72,2065
01127,Walker County,Alabama,1595,57024,3953,98,313,0,104,1023
01129,Washington County,Alabama,241,10743,3894,1209,42,0,15,397
01131,Wilcox County,Alabama,57,2867,7410,10,3,0,0,334
01133,Winston County,Alabama,750,22285,174,81,37,12,0,445
02013,Aleutians East Borough,Alaska,305,447,109,1553,666,34,0,271
02016,Aleutians West Census Area,Alaska,801,1358,191,597,2258,151,4,338
02020,Anchorage Municipality,Alaska,26927,169960,15486,21640,27683,7088,875,23872
02050,Bethel Census Area,Alaska,471,1764,134,14960,195,39,0,571
02060,Bristol Bay Borough,Alaska,32,445,5,299,2,2,0,90
02068,Denali Borough,Alaska,7,1892,26,49,58,0,5,209
02070,Dillingham Census Area,Alaska,184,764,79,3518,67,3,0,346
02090,Fairbanks North Star Borough,Alaska,7972,69282,4236,7204,3064,506,134,6674
02100,Haines Borough,Alaska,113,1952,0,219,33,4,0,197
02105,Hoonah-Angoon Census Area,Alaska,146,937,65,769,34,0,0,188
02110,Juneau City and Borough,Alaska,2186,20844,316,3305,2079,320,15,3162
02122,Kenai Peninsula Borough,Alaska,2428,46726,313,4514,917,195,352,3019
02130,Ketchikan Gateway Borough,Alaska,727,8827,104,1853,1101,27,56,1105
02150,Kodiak Island Borough,Alaska,1198,6595,28,1610,3052,45,59,864
02158,Kusilvak Census Area,Alaska,93,295,8,7582,11,5,3,253
02164,Lake and Peninsula Borough,Alaska,2,292,16,972,23,5,1,82
02170,Matanuska-Susitna Borough,Alaska,5198,83473,1207,6366,1446,237,106,7336
02180,Nome Census Area,Alaska,274,1464,83,7426,153,14,0,574
02185,North Slope Borough,Alaska,199,3027,141,4977,527,182,0,739
02188,Northwest Arctic Borough,Alaska,112,831,83,6332,77,8,0,272
02195,Petersburg Borough,Alaska,381,2133,33,238,149,19,6,298
02198,Prince of Wales-Hyder Census Area,Alaska,247,2900,29,2466,91,40,7,627
02220,Sitka City and Borough,Alaska,584,5320,61,1063,575,8,20,1009
02230,Skagway Municipality,Alaska,63,909,37,56,9,0,3,30
02240,Southeast Fairbanks Census Area,Alaska,417,5066,22,954,183,4,0,232
02261,Valdez-Cordova Census Area,Alaska,484,6406,35,1284,376,58,33,567
02275,Wrangell City and Borough,Alaska,126,1548,1,555,18,9,0,245
02282,Yakutat City and Borough,Alaska,50,281,5,234,32,8,0,39
02290,Yukon-Koyukuk Census Area,Alaska,143,1159,4,3676,38,2,0,355
04001,Apache County,Arizona,4531,13022,373,52285,246,16,57,981
04003,Cochise County,Arizona,44626,69216,4620,1142,2431,419,280,3133
04005,Coconino County,Arizona,19931,76361,1576,36395,2638,235,176,3962
04007,Gila County,Arizona,10038,33334,348,8607,421,0,0,798
04009,Graham County,Arizona,12543,19324,693,4759,240,46,0,391
04011,Greenlee County,Arizona,4456,4439,195,341,52,0,0,39
04012,La Paz County,Arizona,5735,11935,183,2391,151,10,0,388
04013,Maricopa County,Arizona,1341560,2391279,230036,70012,177034,8690,7440,102759
04015,Mohave County,Arizona,34160,160529,2069,4147,2228,415,144,4003
04017,Navajo County,Arizona,12479,45109,808,47561,643,141,233,2296
04019,Pima County,Arizona,382585,531408,33479,25212,28691,1413,1248,23171
04021,Pinal County,Arizona,130511,245773,17675,18616,6826,1243,799,11350
04023,Santa Cruz County,Arizona,38793,6904,110,104,387,0,16,166
04025,Yavapai County,Arizona,33166,183497,1424,2891,2107,132,160,4690
04027,Yuma County,Arizona,133549,64877,3518,1933,2502,118,69,2902
05001,Arkansas County,Arkansas,572,12497,4636,30,8,0,0,171
05003,Ashley County,Arkansas,1101,13831,5123,45,39,0,4,127
05005,Baxter County,Arkansas,987,39235,67,175,180,18,84,681
05007,Benton County,Arkansas,44161,194883,4385,3360,10194,1620,380,6776
05009,Boone County,Arkansas,931,35043,125,212,139,32,1,848
05011,Bradley County,Arkansas,1673,6035,3132,0,7,0,21,6
05013,Calhoun County,Arkansas,207,3762,1115,9,0,16,8,75
05015,Carroll County,Arkansas,4183,22266,140,206,387,257,0,526
05017,Chicot County,Arkansas,584,4111,5719,15,62,0,0,124
05019,Clark County,Arkansas,1059,15377,5426,80,156,7,1,280
05021,Clay County,Arkansas,307,14195,100,44,4,0,0,239
05023,Cleburne County,Arkansas,609,23763,98,294,167,0,0,169
05025,Cleveland County,Arkansas,101,6874,1040,14,0,0,0,99
05027,Columbia County,Arkansas,645,14093,8540,44,254,0,15,185
05029,Conway County,Arkansas,818,17017,2140,53,62,0,2,766
05031,Craighead County,Arkansas,5421,81616,15565,206,1510,7,405,2615
05033,Crawford County,Arkansas,4852,52869,873,1125,1159,15,40,1806
05035,Crittenden County,Arkansas,1246,20435,23276,129,337,21,31,3197
05037,Cross County,Arkansas,167,12223,3141,35,5,0,7,1246
05039,Dallas County,Arkansas,98,3867,3146,41,4,18,0,105
05041,Desha County,Arkansas,718,5296,5456,24,51,0,3,161
05043,Drew County,Arkansas,632,12206,5269,0,60,0,0,250
05045,Faulkner County,Arkansas,5060,98945,14018,475,1641,154,406,2925
05047,Franklin County,Arkansas,536,16327,169,202,146,33,0,325
05049,Fulton County,Arkansas,196,11608,58,40,8,9,0,312
05051,Garland County,Arkansas,5553,80875,8055,835,588,0,271,2378
05053,Grant County,Arkansas,498,16779,465,28,7,13,0,336
05055,Greene County,Arkansas,1281,41791,861,121,164,15,52,652
05057,Hempstead County,Arkansas,2800,11927,6548,69,26,73,0,399
05059,Hot Spring County,Arkansas,1176,27729,3816,152,133,8,0,583
05061,Howard County,Arkansas,1669,8538,2779,31,36,12,9,237
05063,Independence County,Arkansas,2363,33201,678,70,264,8,0,843
05065,Izard County,Arkansas,314,12611,248,130,0,0,15,252
05067,Jackson County,Arkansas,492,13082,2078,26,8,6,17,1318
05069,Jefferson County,Arkansas,1455,26940,39135,196,660,89,78,729
05071,Johnson County,Arkansas,3671,20881,411,63,543,20,125,658
05073,Lafayette County,Arkansas,182,3984,2432,28,27,0,37,110
05075,Lawrence County,Arkansas,256,15765,186,44,25,2,0,271
05077,Lee County,Arkansas,230,3773,5087,22,15,0,0,67
05079,Lincoln County,Arkansas,529,8638,4106,63,0,0,10,109
05081,Little River County,Arkansas,189,9000,2710,129,42,0,0,277
05083,Logan County,Arkansas,645,19596,298,183,474,0,8,464
05085,Lonoke County,Arkansas,3241,62375,4089,475,568,193,72,1515
05087,Madison County,Arkansas,928,14482,16,165,195,95,18,312
05089,Marion County,Arkansas,379,15504,80,107,147,0,0,259
05091,Miller County,Arkansas,1450,29835,10738,301,173,17,197,861
05093,Mississippi County,Arkansas,1740,24550,14212,24,238,33,19,1310
05095,Monroe County,Arkansas,45,3818,3030,21,30,0,0,106
05097,Montgomery County,Arkansas,388,8138,26,132,36,0,0,230
05099,Nevada County,Arkansas,2,5245,2884,13,3,2,0,202
05101,Newton County,Arkansas,33,7335,2,196,51,60,0,135
05103,Ouachita County,Arkansas,558,13137,9866,19,18,0,0,232
05105,Perry County,Arkansas,303,9885,56,5,0,0,4,102
05107,Phillips County,Arkansas,350,6420,11750,1,0,0,4,81
05109,Pike County,Arkansas,700,9398,439,56,46,0,0,117
05111,Poinsett County,Arkansas,727,20744,1093,22,12,0,9,1289
05113,Polk County,Arkansas,1324,17603,95,272,57,0,73,670
05115,Pope County,Arkansas,5751,53564,1866,386,658,0,21,1515
