fips_code,State_name,County.x,report_date,cases_per_100K_7_day_count_change,percent_uninsured_2019,poverty_rate_2019,percent_uninsured_2019_US_avg,poverty_rate_2019_US_avg,total_population_2019,Percentile_Covid,Date,StateName,StateAbbr,County.y,Series_Complete_12PlusPop_Pct,Administered_Dose1_Recip_12PlusPop_Pct,Percentile_Vax,US_Series_Complete_12PlusPop_Pct_Natl_Avg
02016,Alaska,Aleutians West CA,2022-01-15,3052.89,18.8,8.5,9.2,10.5,5634,0.02086577390221115,2022-01-15,Alaska,AK,Aleutians West CA,63.3,74.2,0.6613803230543319,71.8
02020,Alaska,Anchorage Muny,2022-01-15,2506.94,12.2,9.2,9.2,10.5,288000,0.045780130800373714,2022-01-15,Alaska,AK,Anchorage Muny,70.6,81.5,0.7859030837004405,71.8
02105,Alaska,Hoonah-Angoon CA,2022-01-15,3445.07,25.1,9.7,9.2,10.5,2148,0.013702896293989412,2022-01-15,Alaska,AK,Hoonah-Angoon CA,76.4,81.5,0.8458149779735683,71.8
02150,Alaska,Kodiak Island Borough,2022-01-15,3662.1,20.3,9.3,9.2,10.5,12998,0.010900031142946123,2022-01-15,Alaska,AK,Kodiak Island Borough,72.6,80.1,0.8079295154185022,71.8
02158,Alaska,Kusilvak Census Area,2022-01-15,2177.05,21.1,40.5,9.2,10.5,8314,0.09249454998442852,2022-01-15,Alaska,AK,Kusilvak Census Area,86.2,91.7,0.9060205580029369,71.8
02164,Alaska,Lake and Peninsula Borough,2022-01-15,2261.31,31.6,15.9,9.2,10.5,1592,0.07412021177203364,2022-01-15,Alaska,AK,Lake and Peninsula Borough,66.7,74.4,0.7306901615271659,71.8
02180,Alaska,Nome CA,2022-01-15,2509,22.5,23.1,9.2,10.5,10004,0.044534412955465584,2022-01-15,Alaska,AK,Nome CA,83.1,87.2,0.8945668135095448,71.8
02275,Alaska,Wrangell Cty&Bor,2022-01-15,2517.99,15,7.8,9.2,10.5,2502,0.04297726564933042,2022-01-15,Alaska,AK,Wrangell Cty&Bor,63.7,65.8,0.6690161527165932,71.8
04005,Arizona,Coconino County,2022-01-15,2391.34,12.3,18.9,9.2,10.5,143476,0.058237309249455,2022-01-15,Arizona,AZ,Coconino County,83.3,95,0.8960352422907489,71.8
05001,Arkansas,Arkansas County,2022-01-15,3128.22,6.8,20,9.2,10.5,17486,0.018685767673621925,2022-01-15,Arkansas,AR,Arkansas County,62.8,72.6,0.6496328928046989,71.8
05003,Arkansas,Ashley County,2022-01-15,2274,9.2,20.2,9.2,10.5,19657,0.0728744939271255,2022-01-15,Arkansas,AR,Ashley County,55.7,65,0.47077826725403815,71.8
05025,Arkansas,Cleveland County,2022-01-15,2626.95,5.1,19.4,9.2,10.5,7956,0.03550295857988166,2022-01-15,Arkansas,AR,Cleveland County,57.5,65.6,0.5121879588839942,71.8
05029,Arkansas,Conway County,2022-01-15,2652.79,7.4,18.2,9.2,10.5,20846,0.033634381812519466,2022-01-15,Arkansas,AR,Conway County,59.5,67.8,0.5650513950073421,71.8
05031,Arkansas,Craighead County,2022-01-15,2555.92,9.3,18.4,9.2,10.5,110332,0.03986297103706011,2022-01-15,Arkansas,AR,Craighead County,50.8,60,0.3301027900146843,71.8
05035,Arkansas,Crittenden County,2022-01-15,2247.94,9.1,22.2,9.2,10.5,47955,0.07536592961694176,2022-01-15,Arkansas,AR,Crittenden County,51.1,62,0.337151248164464,71.8
05037,Arkansas,Cross County,2022-01-15,2399.66,7.3,16.7,9.2,10.5,16419,0.0573030208657739,2022-01-15,Arkansas,AR,Cross County,58.1,67,0.5268722466960353,71.8
05041,Arkansas,Desha County,2022-01-15,2508.58,7.3,29.1,9.2,10.5,11361,0.04484584241669262,2022-01-15,Arkansas,AR,Desha County,66.6,79.9,0.7286343612334801,71.8
05045,Arkansas,Faulkner County,2022-01-15,2288.76,9.7,16.8,9.2,10.5,126007,0.06976019931485518,2022-01-15,Arkansas,AR,Faulkner County,53.8,61.6,0.41791483113069017,71.8
05055,Arkansas,Greene County,2022-01-15,2279.1,6.9,16.3,9.2,10.5,45325,0.07100591715976332,2022-01-15,Arkansas,AR,Greene County,48.7,56,0.2807635829662261,71.8
05061,Arkansas,Howard County,2022-01-15,2507.2,9.1,19.2,9.2,10.5,13202,0.04546870133914668,2022-01-15,Arkansas,AR,Howard County,63.1,73.7,0.6581497797356828,71.8
05069,Arkansas,Jefferson County,2022-01-15,2291.09,7.9,23.2,9.2,10.5,66824,0.06944876985362815,2022-01-15,Arkansas,AR,Jefferson County,48.2,61.1,0.2637298091042584,71.8
05081,Arkansas,Little River County,2022-01-15,2153.52,6.2,15.8,9.2,10.5,12259,0.09903456867019621,2022-01-15,Arkansas,AR,Little River County,44,54.8,0.16916299559471365,71.8
05093,Arkansas,Mississippi County,2022-01-15,2204.13,7.9,25.8,9.2,10.5,40651,0.08502024291497975,2022-01-15,Arkansas,AR,Mississippi County,46.8,55.2,0.22672540381791484,71.8
05095,Arkansas,Monroe County,2022-01-15,3089.09,9.9,28.1,9.2,10.5,6701,0.019931485518530054,2022-01-15,Arkansas,AR,Monroe County,61.7,75.3,0.6223201174743025,71.8
05119,Arkansas,Pulaski County,2022-01-15,2525.06,8.6,17,9.2,10.5,391911,0.0417315478044223,2022-01-15,Arkansas,AR,Pulaski County,64,74.9,0.6763582966226138,71.8
05125,Arkansas,Saline County,2022-01-15,2150.49,6.1,8.5,9.2,10.5,122437,0.09965742759265027,2022-01-15,Arkansas,AR,Saline County,55.7,64.3,0.47077826725403815,71.8
05129,Arkansas,Searcy County,2022-01-15,2512.37,7.3,21.1,9.2,10.5,7881,0.04391155403301152,2022-01-15,Arkansas,AR,Searcy County,42.9,49.5,0.14625550660792952,71.8
06025,California,Imperial County,2022-01-15,2227.19,9.3,24.2,9.2,10.5,181215,0.07754593584553099,2022-01-15,California,CA,Imperial County,95,95,0.9198237885462555,71.8
06037,California,Los Angeles County,2022-01-15,2917.07,10.8,16,9.2,10.5,10039107,0.023045780130800372,2022-01-15,California,CA,Los Angeles County,77.6,89.4,0.8575624082232012,71.8
06073,California,San Diego County,2022-01-15,2906.72,8.7,12.5,9.2,10.5,3338330,0.02398006851448147,2022-01-15,California,CA,San Diego County,66.4,95,0.7236417033773862,71.8
06111,California,Ventura County,2022-01-15,2164.52,9.3,9.6,9.2,10.5,846006,0.09560884459669884,2022-01-15,California,CA,Ventura County,77.9,88.3,0.8604992657856094,71.8
08001,Colorado,Adams County,2022-01-15,2244.4,11.1,11.5,9.2,10.5,517421,0.07598878853939582,2022-01-15,Colorado,CO,Adams County,76,82.1,0.8443465491923642,71.8
08005,Colorado,Arapahoe County,2022-01-15,2277.52,8.2,9,9.2,10.5,656590,0.07162877608221738,2022-01-15,Colorado,CO,Arapahoe County,73.9,79.5,0.8240822320117475,71.8
08015,Colorado,Chaffee County,2022-01-15,2421.89,10.4,10.1,9.2,10.5,20356,0.054500155714730616,2022-01-15,Colorado,CO,Chaffee County,67.5,73,0.745374449339207,71.8
08031,Colorado,Denver County,2022-01-15,2199.22,10.3,13.8,9.2,10.5,727211,0.08533167237620679,2022-01-15,Colorado,CO,Denver County,81.2,88.8,0.8816446402349486,71.8
08037,Colorado,Eagle County,2022-01-15,2209.44,15.1,7,9.2,10.5,55127,0.08190594830270943,2022-01-15,Colorado,CO,Eagle County,89.3,95,0.9139500734214391,71.8
08045,Colorado,Garfield County,2022-01-15,2524.1,17.1,8.1,9.2,10.5,60061,0.04204297726564933,2022-01-15,Colorado,CO,Garfield County,72.1,79.4,0.8023494860499266,71.8
08051,Colorado,Gunnison County,2022-01-15,2181.88,10.8,13.2,9.2,10.5,17462,0.09093740267829337,2022-01-15,Colorado,CO,Gunnison County,73.5,80.7,0.8199706314243759,71.8
08053,Colorado,Hinsdale County,2022-01-15,2560.98,10.3,13,9.2,10.5,820,0.03924011211460604,2022-01-15,Colorado,CO,Hinsdale County,67.7,NA,0.7480176211453744,71.8
08067,Colorado,La Plata County,2022-01-15,2742.75,9.1,8.7,9.2,10.5,56221,0.028962939894113984,2022-01-15,Colorado,CO,La Plata County,75.7,83.8,0.8408223201174743,71.8
08065,Colorado,Lake County,2022-01-15,2325.58,14.7,16.5,9.2,10.5,8127,0.06664590470258487,2022-01-15,Colorado,CO,Lake County,65.1,73.9,0.7048458149779736,71.8
