fips_code,State_name,County.x,report_date,cases_per_100K_7_day_count_change,percent_uninsured_2019,poverty_rate_2019,percent_uninsured_2019_US_avg,poverty_rate_2019_US_avg,total_population_2019,Percentile_Covid,Date,StateName,StateAbbr,County.y,Series_Complete_12PlusPop_Pct,Administered_Dose1_Recip_12PlusPop_Pct,Percentile_Vax,US_Series_Complete_12PlusPop_Pct_Natl_Avg
01011,Alabama,Bullock County,2022-09-09,326.7,10.8,31.4,9.2,10.5,10101,0.06705991927972679,2022-09-07,Alabama,AL,Bullock County,63.2,80.4,0.5753543534856812,75.9
01029,Alabama,Cleburne County,2022-09-09,1059.69,12.8,18.5,9.2,10.5,14910,9.313877677739833e-4,2022-09-07,Alabama,AL,Cleburne County,34.1,40.6,0.015620480185131617,75.9
01043,Alabama,Cullman County,2022-09-09,339.03,11.8,15.8,9.2,10.5,83768,0.058366966780502946,2022-09-07,Alabama,AL,Cullman County,45.1,53.2,0.11859994214636968,75.9
01057,Alabama,Fayette County,2022-09-09,361.92,8.8,20,9.2,10.5,16302,0.046258925799441165,2022-09-07,Alabama,AL,Fayette County,41.1,47.9,0.0607463118310674,75.9
01059,Alabama,Franklin County,2022-09-09,471.91,12.8,20.2,9.2,10.5,31362,0.01614405464141571,2022-09-07,Alabama,AL,Franklin County,52.9,64.3,0.30344229100376047,75.9
01087,Alabama,Macon County,2022-09-09,337.61,8.1,25.8,9.2,10.5,18068,0.05960881713753493,2022-09-07,Alabama,AL,Macon County,54.6,68,0.3514608041654614,75.9
01115,Alabama,St. Clair County,2022-09-09,463.62,8.8,13.2,9.2,10.5,89512,0.018627755355479666,2022-09-07,Alabama,AL,St. Clair County,46.1,54.6,0.13537749493780735,75.9
01121,Alabama,Talladega County,2022-09-09,307.58,9.3,19.9,9.2,10.5,79978,0.08537721204594846,2022-09-07,Alabama,AL,Talladega County,42.6,51.5,0.07983800983511716,75.9
01123,Alabama,Tallapoosa County,2022-09-09,356.73,8.1,20.3,9.2,10.5,40367,0.048121701334989136,2022-09-07,Alabama,AL,Tallapoosa County,44.9,53.1,0.11599652878218109,75.9
01127,Alabama,Walker County,2022-09-09,322.73,11,19.7,9.2,10.5,63521,0.07016454517230673,2022-09-07,Alabama,AL,Walker County,56,66.4,0.38906566387040786,75.9
02180,Alaska,Nome CA,2022-09-09,299.88,22.5,23.1,9.2,10.5,10004,0.09220738900962434,2022-09-07,Alaska,AK,Nome CA,85.8,88.6,0.8811107897020538,75.9
05001,Arkansas,Arkansas County,2022-09-09,331.69,6.8,20,9.2,10.5,17486,0.06395529338714685,2022-09-07,Arkansas,AR,Arkansas County,66.5,77.1,0.6586635811397166,75.9
05031,Arkansas,Craighead County,2022-09-09,337.16,9.3,18.4,9.2,10.5,110332,0.05991927972679292,2022-09-07,Arkansas,AR,Craighead County,56.4,65.9,0.4000578536303153,75.9
05067,Arkansas,Jackson County,2022-09-09,394.76,8.1,23.3,9.2,10.5,16719,0.03508227258615337,2022-09-07,Arkansas,AR,Jackson County,45.7,53,0.12727798669366502,75.9
05121,Arkansas,Randolph County,2022-09-09,317.41,8.5,18.3,9.2,10.5,17958,0.07420055883266066,2022-09-07,Arkansas,AR,Randolph County,50.2,61.1,0.2282325715938675,75.9
05145,Arkansas,White County,2022-09-09,312.37,9,17,9.2,10.5,78753,0.07947842285004657,2022-09-07,Arkansas,AR,White County,52,60.6,0.2800115707260631,75.9
05147,Arkansas,Woodruff County,2022-09-09,379.75,6.1,25,9.2,10.5,6320,0.04098106178205526,2022-09-07,Arkansas,AR,Woodruff County,65.9,75.1,0.6421752964998554,75.9
08011,Colorado,Bent County,2022-09-09,412.41,9.5,22.9,9.2,10.5,5577,0.02887302080099348,2022-09-07,Colorado,CO,Bent County,29.7,31,0.008388776395718832,75.9
08095,Colorado,Phillips County,2022-09-09,328.25,15.6,6.7,9.2,10.5,4265,0.0664389941012108,2022-09-07,Colorado,CO,Phillips County,61.7,68.3,0.5400636389933469,75.9
08099,Colorado,Prowers County,2022-09-09,303.98,10.8,19,9.2,10.5,12172,0.08786091276001241,2022-09-07,Colorado,CO,Prowers County,51.8,56.7,0.2736476713913798,75.9
